date,place,subp_credit_all,subp_credit_coc,subp_credit_whi,debt_in_collect_all,debt_in_collect_coc,debt_in_collect_whi,median_debt_in_collect_all,median_debt_in_collect_coc,median_debt_in_collect_whi,avg_cc_util_all,avg_cc_util_coc,avg_cc_util_whi,stud_loan_del_rate_all,stud_loan_del_rate_coc,stud_loan_del_rate_whi,cc_del_rate_all,cc_del_rate_coc,cc_del_rate_whi,auto_retail_loan_del_rate_all,auto_retail_loan_del_rate_coc,auto_retail_loan_del_rate_whi,mortgage_del_rate_all,mortgage_del_rate_coc,mortgage_del_rate_whi,afs_cred_all,afs_cred_coc,afs_cred_whi,del_afs_credit_rate_all,del_afs_credit_rate_coc,del_afs_credit_rate_whi
2/28/2020,01121,44.68,n/a**,41.14,51.88,n/a**,48.82,2345.00,n/a**,2359,36.6,n/a**,37.35,29.93,n/a**,29.35,8.91,n/a**,9.83,12.6,n/a**,9.76,6.22,n/a**,6.62,12.31,n/a**,10.41,14.94,n/a**,15.48
2/28/2020,01123,32.63,n/a*,32.72,35.93,n/a*,36.06,1919.00,n/a*,1955,31.16,n/a*,30.85,13.79,n/a*,13.1,6.41,n/a*,5.32,8.14,n/a*,7.76,2.38,n/a*,2.56,11.83,n/a*,11.35,11.39,n/a*,11.76
2/28/2020,01125,35.04,n/a*,28.02,39.33,n/a*,30.97,1999.00,n/a*,1869,34.82,n/a*,32.34,18.4,n/a*,13,9.46,n/a*,8.05,7.63,n/a*,5.71,5.31,n/a*,5.31,8.84,n/a*,6.97,20.65,n/a*,21.1
2/28/2020,01127,37.34,n/a**,37.51,42.07,n/a**,42.13,1990.00,n/a**,1979,30.93,n/a**,31.06,25.61,n/a**,26.25,8.88,n/a**,9.05,7.49,n/a**,7.57,4.12,n/a**,4.17,7.49,n/a**,7.62,13.16,n/a**,13.16
2/28/2020,01129,35.82,46.03,34.97,37.31,38.1,38.04,1610.00,n/a*,1198,34.45,n/a*,36.01,n/a*,n/a*,n/a*,10.34,n/a*,14.29,10.28,n/a*,10,n/a*,n/a*,n/a*,7.46,6.35,8.59,n/a*,n/a*,n/a*
2/28/2020,01131,41.05,40.33,n/a*,49.47,48.07,n/a*,1132.00,1106.00,n/a*,33.94,34.31,n/a*,n/a*,n/a*,n/a*,8.33,8.57,n/a*,16.28,16.67,n/a*,n/a*,n/a*,n/a*,9.47,9.94,n/a*,n/a*,n/a*,n/a*
2/28/2020,01133,34.66,n/a**,34.66,40.34,n/a**,40.34,2248.00,n/a**,2248,27.31,n/a**,27.31,n/a*,n/a**,n/a*,4.35,n/a**,4.35,5.65,n/a**,5.65,n/a*,n/a**,n/a*,5.97,n/a**,5.97,n/a*,n/a**,n/a*
2/28/2020,02013,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**
2/28/2020,02016,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**
2/28/2020,02020,27.12,n/a**,17.66,28.68,n/a**,18.31,2239.00,n/a**,2185,35,n/a**,32.49,16.77,n/a**,10.53,5.72,n/a**,5.07,2.71,n/a**,2.16,2.6,n/a**,2.45,5.38,n/a**,2.55,42.86,n/a**,n/a*
2/28/2020,02050,39.46,39.46,n/a**,37.84,37.84,n/a**,1302.00,1302.00,n/a**,49.35,49.35,n/a**,n/a*,n/a*,n/a**,12.7,12.7,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,8.65,8.65,n/a**,n/a*,n/a*,n/a**
2/28/2020,02060,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*
2/28/2020,02068,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*
2/28/2020,02070,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**
2/28/2020,02090,23.01,n/a*,20.24,27.45,n/a*,24.73,2737.00,n/a*,3366,35.37,n/a*,35.99,19.9,n/a*,14.78,3.97,n/a*,3.68,2.15,n/a*,1.76,2.75,n/a*,3.32,2.6,n/a*,2.6,n/a*,n/a*,n/a*
2/28/2020,02100,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*
2/28/2020,02110,17.61,n/a**,17.89,21.46,n/a**,21.81,1717.00,n/a**,1633,32,n/a**,31.34,16.18,n/a**,18.18,2.29,n/a**,2.42,1.41,n/a**,1.68,0,n/a**,0,1.21,n/a**,1.23,n/a*,n/a**,n/a*
2/28/2020,02122,21.63,n/a*,21.45,24.88,n/a*,24.63,2839.00,n/a*,2793,32.9,n/a*,32.67,22.77,n/a*,22.45,3.66,n/a*,3.56,2.34,n/a*,2.39,2.44,n/a*,2.47,3.25,n/a*,3.31,n/a*,n/a*,n/a*
2/28/2020,02130,22.57,n/a**,22.22,24.78,n/a**,25.12,1622.00,n/a**,1385,31.58,n/a**,31.49,n/a*,n/a**,n/a*,7.09,n/a**,6.98,2.74,n/a**,1.54,4.29,n/a**,4.62,2.65,n/a**,2.42,n/a*,n/a**,n/a*
2/28/2020,02150,14.98,n/a*,n/a**,18.36,n/a*,n/a**,n/a*,n/a*,n/a**,36.13,n/a*,n/a**,n/a*,n/a*,n/a**,3.27,n/a*,n/a**,2.78,n/a*,n/a**,1.75,n/a*,n/a**,1.45,n/a*,n/a**,n/a*,n/a*,n/a**
2/28/2020,02158,53.62,53.62,n/a**,43.48,43.48,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,14.49,14.49,n/a**,n/a*,n/a*,n/a**
2/28/2020,02164,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**
2/28/2020,02170,24.45,n/a*,24.24,27,n/a*,27.96,2240.00,n/a*,2115,36.76,n/a*,36.38,18.32,n/a*,18.49,5.8,n/a*,5.32,2.54,n/a*,1.79,2.83,n/a*,2.05,3.47,n/a*,2.64,n/a*,n/a*,n/a*
