date,place,subp_credit_all,subp_credit_coc,subp_credit_whi,debt_in_collect_all,debt_in_collect_coc,debt_in_collect_whi,median_debt_in_collect_all,median_debt_in_collect_coc,median_debt_in_collect_whi,avg_cc_util_all,avg_cc_util_coc,avg_cc_util_whi,stud_loan_del_rate_all,stud_loan_del_rate_coc,stud_loan_del_rate_whi,cc_del_rate_all,cc_del_rate_coc,cc_del_rate_whi,auto_retail_loan_del_rate_all,auto_retail_loan_del_rate_coc,auto_retail_loan_del_rate_whi,mortgage_del_rate_all,mortgage_del_rate_coc,mortgage_del_rate_whi,afs_cred_all,afs_cred_coc,afs_cred_whi,del_afs_credit_rate_all,del_afs_credit_rate_coc,del_afs_credit_rate_whi,median_credit_score_all,median_credit_score_coc,median_credit_score_whi
4/1/2020,IL,22.44,39.55,17.02,27.8,45.39,22.23,1541,1538,1584,25.56,35.38,23.04,12.02,19.68,9.59,4.97,9.52,3.85,3.98,7.58,3.02,2.7,4.67,2.33,4.13,7.1,3.22,9.9,11.37,8.98,710,640,735
4/1/2020,IN,25.87,46.27,23.24,31.38,52.94,28.62,1884,1868,1879,27,37.63,26.11,15.25,25.87,13.61,5.49,10.78,5.02,3.75,8.11,3.34,2.83,6.07,2.66,5.44,8.79,5.02,6.85,8.89,6.16,686,608,700
4/1/2020,KS,22.7,40.7,19.59,27.55,46.97,24.24,1746,1562,1742,24.88,32.62,23.75,14.15,29.97,12.5,4.29,7.69,3.91,2.81,4.56,2.5,2.17,4.52,1.96,3.88,5.74,3.44,8.26,10.56,6.92,708,637,722
4/1/2020,KY,28.78,61.14,27.28,35.49,68.73,33.99,1333,1207,1338,27.37,42.63,26.77,16.88,30.83,16.41,5.96,16.28,5.71,4.55,10.08,4.37,3.03,4.59,2.92,5.06,7.34,4.85,6.05,4.49,6.06,675,552,679
4/1/2020,LA,34.09,47.26,28.54,41.97,56,36.15,1902,1897,1921,31.35,37.65,29.25,16.85,20.73,14.51,7.1,10.49,5.95,6.73,9.95,5.38,4.38,7.41,3.59,6.5,9.24,5.27,17.68,21.25,14.95,664,606,677
4/1/2020,MA,16.43,32.28,13.24,19.14,35.78,15.9,1580,1500,1637,23.29,33.95,21.83,8.55,14.86,7.24,4.74,9.21,3.93,2.4,5.62,1.91,2.14,4.15,2.03,1.48,3.63,1.12,11.16,11.41,11.73,733,661,745
4/1/2020,MD,24.19,33.36,17.98,28.32,38.05,21.73,1594,1707,1451,28.81,35.49,25.27,13.06,16.23,9.99,6.28,9.07,4.77,4.03,5.91,2.87,3.23,5.15,2.41,3.5,4.96,2.6,6.9,7.96,5.39,698,662,732
4/1/2020,ME,20.87,n/a**,20.85,27.85,n/a**,27.83,1717,n/a**,1720,25.79,n/a**,25.78,10.37,n/a**,10.24,4.84,n/a**,4.83,2.1,n/a**,2.12,2.92,n/a**,2.93,3.08,n/a**,3.09,5.38,n/a**,5.44,714,n/a**,714
4/1/2020,MI,23.58,52.09,19.43,29.6,60.45,25.14,1521,1859,1421,26.01,41.44,24.64,15.13,30.8,12.38,5.11,13,4.36,3.54,10.17,2.91,2.02,5.4,1.84,4.03,9.1,3.29,8.39,8.39,8.1,707,578,723
4/1/2020,MN,13.47,31.2,12.36,14.9,34.77,13.64,1738,1545,1764,22.56,32.52,22.06,9.02,22.05,8.16,3.54,7.3,3.37,2.01,4.33,1.85,1.81,2.87,1.78,2.01,3.18,1.93,5.9,4.44,5.89,741,664,746
4/1/2020,MO,26.11,54.19,22.72,32.43,62.55,28.78,1976,2147,1932,26.18,38.42,25.07,14.95,25.91,13.45,5.23,11.32,4.67,4.68,10.43,4.07,2.53,7.22,2.25,5.97,12.09,5.21,10.65,13.24,9.89,693,574,708
4/1/2020,MS,34.6,47.38,28.43,39.16,51.87,33,1763,1831,1719,33.6,39.44,31.83,18.37,23.83,15.11,9.21,13.53,7.76,7.43,10.66,5.6,5.12,8.22,4.07,7.39,9.16,6.45,15.78,16.72,14.73,657,605,674
4/1/2020,MT,18.96,50.95,17.74,22.55,54.95,21.28,1739,2230,1756,25.16,37.97,24.82,13.05,34.55,12.37,3.61,12.14,3.49,2.73,9.21,2.51,1.45,n/a*,1.4,2.52,4.63,2.4,4.73,n/a*,4.75,721,585,724
4/1/2020,NC,27.14,37.84,22.99,35.17,47.3,30.5,1663,1709,1622,28.5,34.71,26.42,13.38,17.12,11.13,6.33,9.88,5.37,4.82,7.19,3.94,2.98,4.99,2.47,5.23,7.08,4.43,6.19,8.19,5.78,682,644,707
4/1/2020,ND,15.72,40.59,14.92,17.37,43.56,16.5,2258,1677,2301,24.72,36.73,24.51,9.63,n/a*,9.33,3.79,9.18,3.68,2.19,9.26,2.02,2.04,n/a*,2.07,4.48,5.28,4.42,9.62,n/a*,9.59,729,628,732
4/1/2020,NE,17.17,36.31,15.02,19.79,39.93,17.45,1975,1968,2090,23.86,30.91,23.11,9.23,18.78,8.71,4.01,9.67,3.61,2.63,5.27,2.34,1.8,4.47,1.68,3.3,5.16,3.09,8.22,5.41,8.56,726,648,735
4/1/2020,NH,15.86,n/a**,15.86,20.09,n/a**,20.05,1661,n/a**,1670,24.48,n/a**,24.5,9.49,n/a**,9.47,4.44,n/a**,4.43,2.63,n/a**,2.6,2.33,n/a**,2.33,2.22,n/a**,2.21,5.87,n/a**,5.94,729,n/a**,729
4/1/2020,NJ,20.4,32.37,14.1,25.22,37.89,18.61,1359,1257,1455,25.2,31.25,22.62,10.91,16.25,7.98,5.29,8.39,4.03,3.18,5.58,2.22,3.16,4.5,2.73,2.24,3.11,1.71,9.22,10.01,8.33,714,666,741
4/1/2020,NM,28.51,34.05,17.51,35.87,41.84,23.4,1759,1715,1844,29.43,32.13,23.37,17.69,20.31,14.62,5.6,6.48,3.78,6.02,7.68,2.93,3.17,4.02,1.65,7.99,9.94,4.03,10,9.97,11.33,674,655,728
4/1/2020,NV,29.29,40.47,20.42,35.79,47.37,26.25,2119,1972,2117,30.46,35.74,26.51,17.51,22.78,13.61,7.09,10.31,5.11,4.94,7.69,3.18,2.01,3.26,1.64,10.28,13.48,7.01,18.25,20.68,14.98,675,635,715
4/1/2020,NY,19.46,27.51,15.14,22.57,30.17,18.65,1748,1689,1839,25.77,32.47,22.93,11.32,15.58,9.07,5.84,9.17,4.28,3.17,5.82,2.23,3.04,4.92,2.65,1.58,2.22,1.33,5.03,5.75,3.64,716,673,738
4/1/2020,OH,25.28,50.35,21.74,31.96,57.26,28.39,1532,1569,1516,25.78,38.11,24.61,14.51,25.41,12.59,5.4,11.77,4.8,3.65,8.35,3.11,2.49,5.03,2.34,7.51,12.66,6.82,8.54,11.74,7.69,695,591,712
4/1/2020,OK,31.08,50.93,27.75,37.23,57.85,33.97,2190,1962,2194,29.46,34.67,28.63,18.76,36.64,16.16,6.2,10.76,5.83,5.45,9.05,4.98,3.58,4.29,3.56,5.3,6.34,4.92,15.17,17.25,14.17,671,586,676
4/1/2020,OR,17.25,n/a*,16.5,19.89,n/a*,19.13,1547,n/a*,1567,25,n/a*,24.77,13.12,n/a*,12.7,3.87,n/a*,3.75,2.1,n/a*,2.02,1.39,n/a*,1.3,3.36,n/a*,3.28,8.92,n/a*,8.97,721,n/a*,723
